Denominazione,Sezione,Cognome rapp legale,Nome rapp legale,stato,provincia,comune,indirizzo,etichetta,indirizzo_completo,Latitudine,Longitudine
LA NUVOLA ROSA SOCIETA' COOPERATIVA SOCIALE,IMPRESE SOCIALI,BULOTTA,ERMINIA,I,MI,CORNAREDO,PIAZZETTA ALL'OLMO,IS,"PIAZZETTA ALL'OLMO,CORNAREDO,MI,I",45.4871337069048,9.01188317920701
LA NUVOLA - SOCIETA' COOPERATIVA SOCIALE - IMPRESA SOCIALE ONLUS,IMPRESE SOCIALI,DONZELLI,ROSANGELA,I,BS,ORZINUOVI,VIA CONVENTO AGUZZANO,IS,"VIA CONVENTO AGUZZANO,ORZINUOVI,BS,I",45.41641800052422,9.912349673818106
LA PACE SOCIETA' COOPERATIVA SOCIALE,IMPRESE SOCIALI,TRIFONE,SIMONE,I,VA,VARESE,VIA CARCANO,IS,"VIA CARCANO,VARESE,VA,I",45.821369547125784,8.835332831238434
LA PANCHINA DELL'AMICIZIA DI GIO ODV,ORGANIZZAZIONI DI VOLONTARIATO,BRUFATTO,LARA,I,VA,GALLARATE,VIA CURTATONE,OV,"VIA CURTATONE,GALLARATE,VA,I",45.6765323540546,8.795152826188566
LA PAPESSA A.P.S.,ASSOCIAZIONI DI PROMOZIONE SOCIALE,VOLPI,ANNAMARIA,I,MN,MANTOVA,VIA BRONZETTI,APS,"VIA BRONZETTI,MANTOVA,MN,I",45.15425908818777,10.795239772623317
LA PAROLA VERA APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,GALLO,GIOELE,I,MI,SAN VITTORE OLONA,VIA ROMA,APS,"VIA ROMA,SAN VITTORE OLONA,MI,I",45.589522512852064,8.934706133815626
LA PASSIONE DI YARA ODV,ORGANIZZAZIONI DI VOLONTARIATO,MAZZOLENI,IVO,I,BG,BERGAMO,VIA BROSETA,OV,"VIA BROSETA,BERGAMO,BG,I",45.69277673093025,9.66084529662754
L'APE GAIA SOCIETA' COOPERATIVA SOCIALE,IMPRESE SOCIALI,COLOGNESE,MASSIMILIANO,I,MI,LEGNANO,VIA DEI SALICI,IS,"VIA DEI SALICI,LEGNANO,MI,I",45.596564280492636,8.887758999462378
LA PENTOLA D'ORO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,CORTINOVIS,LARA,I,BG,ALZANO LOMBARDO,VIA G. MARCONI,APS,"VIA G. MARCONI,ALZANO LOMBARDO,BG,I",45.74037537376572,9.720633496770706
LA PERDIZIONE APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BRIGNOLE,GIULIA,I,MN,MONZAMBANO,VIA ORTAGLIA,APS,"VIA ORTAGLIA,MONZAMBANO,MN,I",45.362894517702316,10.683776682860604
LA PERPETUA - SOCIETA' COOPERATIVA SOCIALE,IMPRESE SOCIALI,MEDINA DE ALVINCO,NORMA,I,MI,MILANO,VIA BONCOMPAGNI CARLO,IS,"VIA BONCOMPAGNI CARLO,MILANO,MI,I",45.43879746223834,9.230865954611984
LA PICCIOLETTA BARCA ASSOCIAZIONE DI PROMOZIONE SOCIALE,ASSOCIAZIONI DI PROMOZIONE SOCIALE,GATTESCHI,BEATRICE,I,MI,MILANO,VIA ELBA,APS,"VIA ELBA,MILANO,MI,I",45.46390825180362,9.157139056721979
LA PIDUNS APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,TARENZI,RAMONA,I,MI,BESATE,VIA MULINI,APS,"VIA MULINI,BESATE,MI,I",45.312474165680946,8.973612000705096
LA PIGNOLESE SOCIETA'  COOPERATIVA SOCIALE,IMPRESE SOCIALI,SCHIAVI,LUCA,I,BG,BERGAMO,VIA SANTA ELISABETTA,IS,"VIA SANTA ELISABETTA,BERGAMO,BG,I",45.6997593257411,9.673018786389848
LA PIRAMIDE LAVORO - SOCIETA' COOPERATIVA SOCIALE A RESPONSABILIT A' LIMITATA - ONLUS,IMPRESE SOCIALI,RIGAMONTI,CLAUDIO,I,MB,ARCORE,VIA TRENTO E TRIESTE,IS,"VIA TRENTO E TRIESTE,ARCORE,MB,I",45.62673899827994,9.32490224159199
LA PIRAMIDE SERVIZI - SOCIETA' COOPERATIVA SOCIALE A RESPONSABILITA' LIMITATA - ONLUS,IMPRESE SOCIALI,CASIRAGHI,MARIA CARMEN,I,MB,ARCORE,VIA TRENTO TRIESTE,IS,"VIA TRENTO TRIESTE,ARCORE,MB,I",45.62673899827994,9.32490224159199
LAPIS - ASSOCIAZIONE GENITORI E AMICI DELLA SCUOLA PISACANE LOCATELLI ASSOCIAZIONE DI PROMOZIONE SOCIALE,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MITTON,FEDERICA,I,MI,MILANO,VIA PISACANE,APS,"VIA PISACANE,MILANO,MI,I",45.472791781566336,9.211124857900748
LA PIUMA DI DUMBO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,GRECO,GIADA ALESSANDRA,I,VA,CARONNO VARESINO,VIALE MILANO,APS,"VIALE MILANO,CARONNO VARESINO,VA,I",45.734703701713485,8.83238238782251
LA PIUMA MAGICA APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,PREMOLI,SILVIA,I,MI,MILANO,VIA DELLE FORZE ARMATE,APS,"VIA DELLE FORZE ARMATE,MILANO,MI,I",45.463333319330125,9.136751935254098
LA POLARE SOCIETA' COOPERATIVA SOCIALE - ONLUS,IMPRESE SOCIALI,TORREDIMARE,MICHELE,I,MI,MILANO,VIA BALDASSARRE OLTROCCHI,IS,"VIA BALDASSARRE OLTROCCHI,MILANO,MI,I",45.45536900480135,9.219018911146296
LA PORTA APERTA ODV,ORGANIZZAZIONI DI VOLONTARIATO,TURRI,DOMENICO,I,VA,BESNATE,VIA PARINI,OV,"VIA PARINI,BESNATE,VA,I",45.69741201348816,8.758471056605645
LA PORTAVERTA APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BELLINI,BEATRICE,I,VA,LAVENO-MOMBELLO,VIA BOSTANO,APS,"VIA BOSTANO,LAVENO-MOMBELLO,VA,I",45.88429191903979,8.622754636263268
L'APPRODO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,ZUCCHELLI,CLARA,I,CR,RIVOLTA D'ADDA,VIA RENZI,APS,"VIA RENZI,RIVOLTA D'ADDA,CR,I",45.470399579227305,9.51380052482114
L' APPRODO ODV,ORGANIZZAZIONI DI VOLONTARIATO,SUARDI,MARIAROSA,I,BG,CLUSONE,VIA G.MAZZINI,OV,"VIA G.MAZZINI,CLUSONE,BG,I",45.88933214149682,9.943108335747677
LA PRATERIA SOCIETA' COOPERATIVA SOCIALE ONLUS,IMPRESE SOCIALI,ROSCELLI,VALERIA,I,MI,PADERNO DUGNANO,VIA ERBA,IS,"VIA ERBA,PADERNO DUGNANO,MI,I",45.56928934821942,9.190251696247568
LA PREFERIBILE APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,FUMAGALLI,DANIELE LORENZO,I,LC,COSTA MASNAGA,VIA XXV APRILE,APS,"VIA XXV APRILE,COSTA MASNAGA,LC,I",45.7690308813371,9.274036944509099
LA PRIMA GOCCIA ORGANIZZAZIONE DI VOLONTARIATO (O ODV),ORGANIZZAZIONI DI VOLONTARIATO,GUZZETTI,LORENZA GIANCARLA,I,CO,TURATE,PIAZZA DELLA CHIESA,OV,"PIAZZA DELLA CHIESA,TURATE,CO,I",45.97977490993607,9.06488588185754
LA PRO CONCAGNO O.D.V.,ORGANIZZAZIONI DI VOLONTARIATO,FRANZI,ANGELA,I,CO,SOLBIATE CON CAGNO,VIA ALESSANDRO VOLTA,OV,"VIA ALESSANDRO VOLTA,SOLBIATE CON CAGNO,CO,I",45.80165586075411,8.912566766468803
LA PRO LOCO DI POMPONESCO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BROZZI,FRANCESCO,I,MN,POMPONESCO,PIAZZA XXIII APRILE,APS,"PIAZZA XXIII APRILE,POMPONESCO,MN,I",44.9272351897914,10.592126553222599
LA PRO LOCO MALGRATE APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,VENTURA,FRANCESCO,I,LC,MALGRATE,VIA AGUDIO,APS,"VIA AGUDIO,MALGRATE,LC,I",45.85200379118682,9.374189040964197
LA PRO LOCO VAPRIO - APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,LISO,MASSIMILIANO,I,MI,VAPRIO D'ADDA,PIAZZA CAVOUR,APS,"PIAZZA CAVOUR,VAPRIO D'ADDA,MI,I",45.57570926522494,9.532759919459568
LA PROSSIMA CULTURA ETS,ALTRI ENTI DEL TERZO SETTORE,FRANCESCA,MARTINA,I,MB,MONZA,VIA DE LEYVA,AE,"VIA DE LEYVA,MONZA,MB,I",45.585364897542334,9.282689629719911
LAQUARTAPARETE COMPAGNIA TEATRALE - ODV,ORGANIZZAZIONI DI VOLONTARIATO,BRANDOLINI,NATALE,I,LO,MONTANASO LOMBARDO,VIA DEI GLICINI,OV,"VIA DEI GLICINI,MONTANASO LOMBARDO,LO,I",45.33382318465289,9.467195428796508
LA QUERCIA DI MAMRE ODV,ORGANIZZAZIONI DI VOLONTARIATO,FORLANI,ROSALBA,I,BG,TREVIGLIO,VIA ROSSARO,OV,"VIA ROSSARO,TREVIGLIO,BG,I",45.513213579899045,9.57463109850748
LA QUERCIA MILLENARIA LOMBARDIA ODV,ORGANIZZAZIONI DI VOLONTARIATO,BONI,SAMUELA,I,MN,MANTOVA,VIA ALBERTONI,OV,"VIA ALBERTONI,MANTOVA,MN,I",45.147577566416786,10.775785670839218
LA QUERCIA -  SOCIETA' COOPERATIVA SOCIALE DI SOLIDARIETA' ONLUS,IMPRESE SOCIALI,FERRIANI,FAUSTO,I,MN,ROVERBELLA,VIA DON BAZZOTTI,IS,"VIA DON BAZZOTTI,ROVERBELLA,MN,I",45.266605,10.769113
"L'AQUILONE COOPERATIVA SOCIALE A RESPONSABILITA' LIMITATA - ONLUS VALIDAMENTE IDENTIFICATA IN SIGLA COME ""L'AQUILONE S.C.S."" OPPURE ""L'AQUILONE S.C.S.R.L.""",IMPRESE SOCIALI,SOLLAZZO,ADRIANO GAVINO,I,PV,PAVIA,VIA MIRABELLO,IS,"VIA MIRABELLO,PAVIA,PV,I",45.21705410881104,9.165467195969287
L'AQUILONE SOCIETA' COOPERATIVA SOCIALE - ONLUS,IMPRESE SOCIALI,BASILICO,EMANUELA,I,BS,GARDONE VAL TROMPIA,VIA VERDI,IS,"VIA VERDI,GARDONE VAL TROMPIA,BS,I",45.69464325470691,10.188509777043002
L'ARABA FENICE - SOCIETA' COOPERATIVA SOCIALE,IMPRESE SOCIALI,LIBERATORE,AMLETO,I,CR,CREMA,VIA EVEREST,IS,"VIA EVEREST,CREMA,CR,I",45.37104821978278,9.690031123555551
LA RANICA  SOCIETA' COOPERATIVA SOCIALE - ONLUS,IMPRESE SOCIALI,GAMBA,MARIO,I,BG,RANICA,VIA N. REZZARA,IS,"VIA N. REZZARA,RANICA,BG,I",45.72032474986505,9.721138860353696
LARA SOCIETA' COOPERATIVA SOCIALE,IMPRESE SOCIALI,EL ABED,KHOULOUD,I,CO,ERBA,VIA ALESSANDRO VOLTA,IS,"VIA ALESSANDRO VOLTA,ERBA,CO,I",45.809349388866025,9.227305117602706
L'ARCA DEGLI ANIMALI ODV,ORGANIZZAZIONI DI VOLONTARIATO,RICCI,EMILIA,I,PV,VOGHERA,VIA SEGANTINI,OV,"VIA SEGANTINI,VOGHERA,PV,I",44.97333672799792,9.004285062633585
L'ARCA DI LEONARDO ODV,ORGANIZZAZIONI DI VOLONTARIATO,CODA,FRANCESCO,I,BG,BERGAMO,VIA CAMOZZI,OV,"VIA CAMOZZI,BERGAMO,BG,I",45.696163546965295,9.67459267871538
L'ARCA DI NOE APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BASSANI,NOEMI,I,VA,ALBIZZATE,VIA PIAVE,APS,"VIA PIAVE,ALBIZZATE,VA,I",45.727502568309056,8.806376123260748
L'ARCA DI NOE' - ODV,ORGANIZZAZIONI DI VOLONTARIATO,GUIDA,ELISABETTA,I,CR,SALVIROLA,VIA DELLE ROBINIE,OV,"VIA DELLE ROBINIE,SALVIROLA,CR,I",45.35329204370115,9.778504153026338
L'ARCA SOCIETA' COOPERATIVA SOCIALE ONLUS IN LIQUIDAZIONE (IN LIQUIDAZIONE COATTA AMMINISTRATIVA),IMPRESE SOCIALI,MAZZINI,MARIA CRISTINA,I,CR,CREMONA,VIA DEL SALE,IS,"VIA DEL SALE,CREMONA,CR,I",45.12959387986834,10.013772019300282
L'ARCOBALENO DEI SOGNI ODV,ORGANIZZAZIONI DI VOLONTARIATO,COLLEDAN,CHIARA,I,PV,PAVIA,XI FEBBRAIO,OV,"XI FEBBRAIO,PAVIA,PV,I",45.19090115844276,9.156508847492354
L'ARCOBALENO DI MADDI ETS,ALTRI ENTI DEL TERZO SETTORE,MATTERI,FRANCESCA,I,CO,COMO,VIA BORGO VICO,AE,"VIA BORGO VICO,COMO,CO,I",45.81481652659559,9.067559993876234
L'ARCOBALENO DI NICOLE ODV,ORGANIZZAZIONI DI VOLONTARIATO,ZACCO,MATTIA,I,BS,GOTTOLENGO,VIA BEATO TOVINI,OV,"VIA BEATO TOVINI,GOTTOLENGO,BS,I",45.29691546607716,10.273245297522053
L'ARCOBALENO DI OLIVIA ODV,ORGANIZZAZIONI DI VOLONTARIATO,MARINO,LISA,I,CO,CANTU',VIA PER ALZATE,OV,"VIA PER ALZATE,CANTU',CO,I",45.751859397555705,9.145610430092518
L'ARCOBALENO - SOCIETA' COOPERATIVA SOCIALE - ONLUS,IMPRESE SOCIALI,ZACCHI,VALERIA,I,BS,MONTICHIARI,VIA XXV APRILE,IS,"VIA XXV APRILE,MONTICHIARI,BS,I",45.410079028521075,10.39084447847423
L'ARCOBALENO SOCIETA' COOPERATIVA SOCIALE - ONLUS,IMPRESE SOCIALI,CRIMELLA,FABIO,I,LC,LECCO,VIALE FILIPPO TURATI,IS,"VIALE FILIPPO TURATI,LECCO,LC,I",45.860973028146475,9.388676838418366
LA RESILIENTE SOCIETA' COOPERATIVA SOCIALE A R. L.,IMPRESE SOCIALI,MINELLI,ENRICO,I,BS,BRESCIA,VIA SANT'ORSOLA,IS,"VIA SANT'ORSOLA,BRESCIA,BS,I",45.52549885020794,10.289010077077748
LARES LOMBARDIA - UNIONE NAZIONALE LAUREATI ESPERTI IN PROTEZIONE CIVILE ODV,ORGANIZZAZIONI DI VOLONTARIATO,GALBIATI,IGOR,I,MI,BRESSO,VIA DON ERNESTO VERCESI,OV,"VIA DON ERNESTO VERCESI,BRESSO,MI,I",45.5299949667956,9.196863873660083
LA RETE - SOCIETA' COOPERATIVA SOCIALE - ONLUS,IMPRESE SOCIALI,GOBBINI,ALBERTO,I,BS,BRESCIA,VIA MAZZUCCHELLI,IS,"VIA MAZZUCCHELLI,BRESCIA,BS,I",45.54530286743089,10.20567836163297
LA RETE - UNA DIMORA PER L'EMARGINAZIONE ODV,ORGANIZZAZIONI DI VOLONTARIATO,DONINELLI,GIOVANNI,I,BS,BRESCIA,VIA DELL'ARSENALE,OV,"VIA DELL'ARSENALE,BRESCIA,BS,I",45.5795030582202,10.225466321078793
L'ARGINE MAESTRO 49-ODV,ORGANIZZAZIONI DI VOLONTARIATO,DEFANTI,GIUSEPPE,I,CR,SPINADESCO,VIA MAZZINI,OV,"VIA MAZZINI,SPINADESCO,CR,I",45.149342772867655,9.92855985718999
LA RICREAZIONE APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,ZENI,MATTEO,I,BS,DESENZANO DEL GARDA,VIALE MICHELANGELO,APS,"VIALE MICHELANGELO,DESENZANO DEL GARDA,BS,I",45.46014216299675,10.556242370968963
LA RINASCITA COOPERATIVA SOCIALE - ONLUS - IN LIQUIDAZIONE,IMPRESE SOCIALI,MONFORTE,SARA,I,VA,VARESE,VIA GOLDONI,IS,"VIA GOLDONI,VARESE,VA,I",45.80897426246639,8.835145236185605
LA RINGHIERA SOCIETA' COOPERATIVA SOCIALE,IMPRESE SOCIALI,NORIS,MAURIZIO,I,BG,ALBINO,VIALE LIBERTA',IS,"VIALE LIBERTA',ALBINO,BG,I",45.759455243348796,9.797613769244263
LARIO LUDENS - APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,AONDIO,FRANCESCO,I,LC,LECCO,VIA FRA' GALDINO,APS,"VIA FRA' GALDINO,LECCO,LC,I",45.84644657349093,9.402833160875453
LARIOSOCCORSO ODV,ORGANIZZAZIONI DI VOLONTARIATO,RIVA,ALEX,I,CO,ERBA,VIA TRIESTE,OV,"VIA TRIESTE,ERBA,CO,I",45.800007010581986,9.233727219670538
LA RISORGIVA ETS,ALTRI ENTI DEL TERZO SETTORE,CAFARELLI,NINA,I,MI,SETTIMO MILANESE,VIA PASTORE,AE,"VIA PASTORE,SETTIMO MILANESE,MI,I",45.48062239097079,9.060901717250413
LARIUS SOCIETA'  COOPERATIVA SOCIALE,IMPRESE SOCIALI,TRUSSONI,ANDREA,I,LC,COLICO,VIA NAZIONALE SUD,IS,"VIA NAZIONALE SUD,COLICO,LC,I",46.130060258975256,9.358200934488053
LA RIVISCERA APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BRAGA,WALTER,I,VA,CASORATE SEMPIONE,VIA DE AMICIS,APS,"VIA DE AMICIS,CASORATE SEMPIONE,VA,I",45.67183807832954,8.740321738628833
LA RIZZADA APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MARELLI,LUIGI,I,CO,CANTU',VIA SAN GIUSEPPE,APS,"VIA SAN GIUSEPPE,CANTU',CO,I",45.727233565011524,9.145799789098236
L'ARNICA - ASSOCIAZIONE VOLONTARI DI PROTEZIONE CIVILE,ORGANIZZAZIONI DI VOLONTARIATO,BOSIO,MANOLO,I,BS,BERZO DEMO,DOSS,OV,"DOSS,BERZO DEMO,BS,I",46.09221990095208,10.326107146049202
LA ROCCA - ODV,ORGANIZZAZIONI DI VOLONTARIATO,GALLORINI,IRIS,I,MN,BORGO VIRGILIO,VIA PARMENSE,OV,"VIA PARMENSE,BORGO VIRGILIO,MN,I",45.0552984936914,10.753466087270192
LA RONDINE - APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,STORTI,EDY,I,CR,RIVAROLO DEL RE ED UNITI,VIA GIOVANNI XXIII,APS,"VIA GIOVANNI XXIII,RIVAROLO DEL RE ED UNITI,CR,I",45.02836489575241,10.47028930574915
LA RONDINE ASSOCIAZIONE PER LA PROMOZIONE E LA TUTELA DELLA SALUTE MENTALE - ODV,ORGANIZZAZIONI DI VOLONTARIATO,BOTTURA,NIVES,I,MN,SUZZARA,VIA LIBERTA',OV,"VIA LIBERTA',SUZZARA,MN,I",44.9886136387513,10.740350215498411
LA RONDINE - SOCIETA' COOPERATIVA SOCIALE - ONLUS,IMPRESE SOCIALI,RADICI,RUGGERO,I,BS,MAZZANO,VIALE GIUSEPPE MAZZINI,IS,"VIALE GIUSEPPE MAZZINI,MAZZANO,BS,I",45.50691687592471,10.359587242781073
LA ROSA VERDE - ETS ,ALTRI ENTI DEL TERZO SETTORE,BRIVIO,CHRISTIAN,I,MB,RONCO BRIANTINO,VIA CESARE BATTISTI,AE,"VIA CESARE BATTISTI,RONCO BRIANTINO,MB,I",45.671392386909,9.408254181542016
LA ROTONDA A.P.S.,ASSOCIAZIONI DI PROMOZIONE SOCIALE,LENTINI,SAMANTHA,I,MI,BARANZATE,FIUME,APS,"FIUME,BARANZATE,MI,I",45.52315616997623,9.120800675393639
L'ARPA MAGICA - APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,CIAUDANO,ALESSANDRO,I,CO,VENIANO,PIAZZA SAN LORENZO,APS,"PIAZZA SAN LORENZO,VENIANO,CO,I",45.72007349001159,8.987774085480964
L'ARTE DEL COMUNICARE ASSOCIAZIONE DI PROMOZIONE SOCIALE,ASSOCIAZIONI DI PROMOZIONE SOCIALE,ANSUINI,DORIA,I,MN,MOGLIA,VIA ROBERTO ARDIGO',APS,"VIA ROBERTO ARDIGO',MOGLIA,MN,I",45.103932975353494,10.484505583103081
L'ARTE DI AMARSI ETS APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,SALA,FRANCESCA ANTONIA,I,MB,MONZA,VIA ENRICO DA MONZA,APS,"VIA ENRICO DA MONZA,MONZA,MB,I",45.58597187844939,9.284739100669244
L'ARTICOLO 3 VALE ANCHE PER ME - ODV,ORGANIZZAZIONI DI VOLONTARIATO,TRIFOGLI,AMALIA,I,PV,VIGEVANO,VIA MONS. BERRUTI,OV,"VIA MONS. BERRUTI,VIGEVANO,PV,I",45.31733974024062,8.850578861315768
LA RUOTA -  SOCIETA' COOPERATIVA SOCIALE - ONLUS,IMPRESE SOCIALI,COLOMBO,FIORELLA,I,MI,PARABIAGO,VIA SANSOVINO,IS,"VIA SANSOVINO,PARABIAGO,MI,I",45.54900327484523,8.950160582404871
LA SAGGIA QUERCIA ENTE DEL TERZO SETTORE E ASSOCIAZIONE DI PROMOZIONE SOCIALE,ASSOCIAZIONI DI PROMOZIONE SOCIALE,COLOMBO,STEFANIA,I,MI,RESCALDINA,VIA GRAMSCI,APS,"VIA GRAMSCI,RESCALDINA,MI,I",45.61526319398942,8.954591378040622
LA SALUTE IN TESTA APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MOTTO,DAVIDE MARIO,I,MI,SESTO SAN GIOVANNI,LACERRA,APS,"LACERRA,SESTO SAN GIOVANNI,MI,I",45.53095955744957,9.22974216342355
LA SALUTE IN VALLE-SOCIETA' COOPERATIVA SOCIALE-ONLUS,IMPRESE SOCIALI,ARMANNI,ANTONELLA,I,BS,CETO,VIA BADETTO,IS,"VIA BADETTO,CETO,BS,I",45.998618452153764,10.339853594907881
LA SALUTE SOCIETA' COOPERATIVA SOCIALE - O.N.L.U.S.,IMPRESE SOCIALI,RONZI,DAVIDE,I,MI,TURBIGO,VIA FREDDA,IS,"VIA FREDDA,TURBIGO,MI,I",45.53106450576241,8.73585780690195
LA SARTORIA DI FRANCESCA APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,LAMPUGNANI,DANTE,I,PV,PAVIA,VIA SAN LANFRANCO,APS,"VIA SAN LANFRANCO,PAVIA,PV,I",45.1944232,9.126335
LA SCALA FORMAZIONE S.R.L. IMPRESA SOCIALE,IMPRESE SOCIALI,LA SCALA,GIUSEPPE FILIPPO MARIA,I,MI,MILANO,VIA CORREGGIO,IS,"VIA CORREGGIO,MILANO,MI,I",45.47017436826233,9.151076333481182
LA SCATOLA MAGICA - COOPERATIVA SOCIALE - ONLUS,IMPRESE SOCIALI,SETTANNI,MARIA,I,MI,GORGONZOLA,VIA ROMA,IS,"VIA ROMA,GORGONZOLA,MI,I",45.53290657445118,9.401510069185644
LA SCINTILLA ASD APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,FUSI,MANILA,I,MI,SESTO SAN GIOVANNI,VIALE A. GRAMSCI,APS,"VIALE A. GRAMSCI,SESTO SAN GIOVANNI,MI,I",45.551724985354895,9.24807931040911
LA SCOTTA SOCIETA'  COOPERATIVA SOCIALE - ONLUS,IMPRESE SOCIALI,BONASSI,CESARE,I,BS,CAPRIOLO,VIA MONTE,IS,"VIA MONTE,CAPRIOLO,BS,I",45.63741393952991,9.93805207010779
LA SCUOLA AL CENTRO. ASSOCIAZIONE GENITORI SCUOLA PRIMARIA SIGNORELLI - CAIRATE ODV,ORGANIZZAZIONI DI VOLONTARIATO,CUSCUNA',ALESSANDRA,I,VA,CAIRATE,VIA DANTE,OV,"VIA DANTE,CAIRATE,VA,I",45.68836334311084,8.872946790930074
LA SCUOLA DDIRITTO ORGANIZZAZIONE DI VOLONTARIATO,ORGANIZZAZIONI DI VOLONTARIATO,PASSERINI,FRANCESCA,I,MI,MILANO,CORSO DI PORTA VITTORIA 8,OV,"CORSO DI PORTA VITTORIA 8,MILANO,MI,I",45.462138180370516,9.198474972135614
LA SCUOLA DELLE ARTI S.R.L.  IMPRESA SOCIALE ETS,IMPRESE SOCIALI,ACCORDINO,CORRADO,I,MB,MONZA,VIA TURATI,IS,"VIA TURATI,MONZA,MB,I",45.579505090051164,9.274610534135148
LA SCUOLA FA CENTRO APS ,ASSOCIAZIONI DI PROMOZIONE SOCIALE,PORTA,CLAUDIA,I,CO,COMO,VIA GRAMSCI,APS,"VIA GRAMSCI,COMO,CO,I",45.80400012712772,9.082903810685902
LA SERRA IMPRESA SOCIALE S.R.L.,IMPRESE SOCIALI,INNOCENTI,PAOLO,I,BG,SERIATE,VIA COMONTE,IS,"VIA COMONTE,SERIATE,BG,I",45.68555312317942,9.751428238234745
LA SETTIMA ARTE ETS,ALTRI ENTI DEL TERZO SETTORE,VAILATI,Andrea,I,MI,MILANO,VIA DONATELLO,AE,"VIA DONATELLO,MILANO,MI,I",45.480295543545395,9.219901128244775
LA SFIDA ODV,ORGANIZZAZIONI DI VOLONTARIATO,AFFINI,GIULIANO,I,MN,MANTOVA,VIALE GORIZIA,OV,"VIALE GORIZIA,MANTOVA,MN,I",45.15076201769689,10.777398662577077
LA SFIDA SOCIETA' COOPERATIVA SOCIALE,IMPRESE SOCIALI,MAPELLI,CLAUDIO,I,BG,BERGAMO,VIA DIAZ,IS,"VIA DIAZ,BERGAMO,BG,I",45.69469780625948,9.654151713726021
LA SIEMBRA SOCIETA' COOPERATIVA SOCIALE DI SOLIDARIETA'- ONLUS,IMPRESE SOCIALI,BENELLI,VALERIA,I,CR,CREMA,VIA SANTA CHIARA,IS,"VIA SANTA CHIARA,CREMA,CR,I",45.365859365295435,9.688651725701217
L'ASINA DI BALAAM APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,GALLI  STAMPINO,PIERLUIGI,I,MI,MILANO,PIAZZA BORROMEO,APS,"PIAZZA BORROMEO,MILANO,MI,I",45.463175891013215,9.18263891256987
"LA SOLIDARIETA' COOPERATIVA SOCIALE A R.L. IN SIGLA ""LA SOLIDARIE TA'""",IMPRESE SOCIALI,SORZI,GIANMARIA,I,BG,DALMINE,VIA IV NOVEMBRE,IS,"VIA IV NOVEMBRE,DALMINE,BG,I",45.646186053118,9.59297006455651
LA SOLIDARIETA' GIACOMO RAINOLDI SOCIETA' COOPERATIVA SOCIALE,IMPRESE SOCIALI,CAUZZO,ILARIA,I,MI,ALBAIRATE,VIA PIETRO GRAMEGNA,IS,"VIA PIETRO GRAMEGNA,ALBAIRATE,MI,I",45.42259559610338,8.930157309385065
LA SOLIDARIETA' SPINO D'ADDA - ODV,ORGANIZZAZIONI DI VOLONTARIATO,RANCATI,STEFANO,I,CR,SPINO D'ADDA,VIA CIRCONVALLAZIONE C/O CAS.NA CARLOTTA,OV,"VIA CIRCONVALLAZIONE C/O CAS.NA CARLOTTA,SPINO D'ADDA,CR,I",45.40160478958879,9.493826611534406
LA SORGENTE ASSOCIAZIONE SPORTIVA DILETTANTISTICA APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,FANTUZZO,CHRISTIAN,I,VA,CASSANO VALCUVIA,VIA PROVINCIALE,APS,"VIA PROVINCIALE,CASSANO VALCUVIA,VA,I",45.93581616440897,8.773617955942425
LA SORGENTE - ORGANIZZAZIONE DI VOLONTARIATO,ORGANIZZAZIONI DI VOLONTARIATO,BARCARO,DANIELA,I,BS,DELLO,FRA GIACOMO BULGARO,OV,"FRA GIACOMO BULGARO,DELLO,BS,I",45.424691353784326,10.12071851357225
LA SORGENTE ORGANIZZAZIONE DI VOLONTARIATO,ORGANIZZAZIONI DI VOLONTARIATO,FRANCHINI,MARIA GRAZIA,I,MN,CERESARA,VIA TEZZE,OV,"VIA TEZZE,CERESARA,MN,I",45.26636728333079,10.578759754970582
