Denominazione,Sezione,Cognome rapp legale,Nome rapp legale,stato,provincia,comune,indirizzo,etichetta,indirizzo_completo,Latitudine,Longitudine
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI CANTELLO,ALTRI ENTI DEL TERZO SETTORE,VINCENZI,NICOLA GUNNAR,I,VA,CANTELLO,PIAZZA MONTE GRAPPA,AE,"PIAZZA MONTE GRAPPA,CANTELLO,VA,I",45.8211474985914,8.896280331023164
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI CAPRIATE SAN GERVASIO,ALTRI ENTI DEL TERZO SETTORE,ESPOSITO,CRISTIANO,I,BG,CAPRIATE SAN GERVASIO,PIAZZA DELLA VITTORIA,AE,"PIAZZA DELLA VITTORIA,CAPRIATE SAN GERVASIO,BG,I",45.608664173408826,9.527949257197543
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI CAPRIOLO,ALTRI ENTI DEL TERZO SETTORE,VEZZOLI,LUIGI,I,BS,CAPRIOLO,VIA VITTORIO EMANUELE,AE,"VIA VITTORIO EMANUELE,CAPRIOLO,BS,I",45.6392630416152,9.936080681844686
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI CARAVATE,ALTRI ENTI DEL TERZO SETTORE,TARDUGNO,NICOLA,I,VA,CARAVATE,VIA XX SETTEMBRE,AE,"VIA XX SETTEMBRE,CARAVATE,VA,I",45.880374062148476,8.659926424624265
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI CARBONARA AL TICINO,ALTRI ENTI DEL TERZO SETTORE,UBEZIO,STEFANO,I,PV,CARBONARA AL TICINO,VIA ROMA,AE,"VIA ROMA,CARBONARA AL TICINO,PV,I",45.17755894462854,9.050882806732469
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI CARDANO AL CAMPO,ALTRI ENTI DEL TERZO SETTORE,ASPESI,LORENZO,I,VA,CARDANO AL CAMPO,PIAZZA MAZZINI,AE,"PIAZZA MAZZINI,CARDANO AL CAMPO,VA,I",45.64468943674082,8.772233758979368
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI CARNAGO,ALTRI ENTI DEL TERZO SETTORE,CARABELLI,BARBARA,I,VA,CARNAGO,PIAZZA A.GRAMSCI,AE,"PIAZZA A.GRAMSCI,CARNAGO,VA,I",45.72072681164432,8.837294813218737
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI CARONNO PERTUSELLA,ALTRI ENTI DEL TERZO SETTORE,GIUDICI,MARCO,I,VA,CARONNO PERTUSELLA,PIAZZA ALDO MORO,AE,"PIAZZA ALDO MORO,CARONNO PERTUSELLA,VA,I",45.59736420936384,9.048242430164345
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI CARONNO VARESINO,ALTRI ENTI DEL TERZO SETTORE,BROGGINI,MARIA ROSA,I,VA,CARONNO VARESINO,PIAZZA MAZZINI,AE,"PIAZZA MAZZINI,CARONNO VARESINO,VA,I",45.73886010279243,8.831275926371617
GRUPPO COMUNALE DI VOLONTARIATO DI  PROTEZIONE CIVILE DEL COMUNE DI CARUGO ,ALTRI ENTI DEL TERZO SETTORE,COLOMBO,DANIELE,I,CO,CARUGO,VIA CADORNA,AE,"VIA CADORNA,CARUGO,CO,I",45.70753544214415,9.191024071459777
